query,classlabel
Bug quick Remove modifier solution constants interfaces,good
Bug preferences JRE compiler compliance inconsistency visible,good
Bug build path File Java Project identifying source files correctly,bad
Bug open multipage editor Invalid thread access exporting jar,bad
Bug organize imports Organize imports perf test loop warm,good
Bug content tree view projects folders export jar read screen readers,bad
Bug refactoring pull destination type creates bogus nested type,bad
Bug quick assist quick Relevance externalization quick fixes empty selection,bad
Bug dnd ccp Explorer moving read linked resources project confirmation,bad
Bug preferences Outgoing change preferences change,bad
Bug ClassCastException selecting java browsing perspective Exception,bad
Bug quick bad proposal modifier constructors classes,good
Bug Source Folders Sort Java Packages Simple Folders,bad
Bug rename Undo place refactoring animates info popup,good
Bug introduce parameter NPE Introduce Parameter Object Build path,good
Bug Selected resources scope disabled Enclosing projects,bad
Bug misc incorrect reconciling Java Outline,good
Bug implementation failure launching headless,bad
Bug JUnit Previous Failed Test buttons enabled Skipped Tests,bad
Bug wizards check filtered resources,bad
Bug JavaModel object handled JavaNavigatorLabelProvider Java Model Java Navigator Label Provider,good
Bug Classpath variable initialization doesn fail silently,bad
Bug preferences whitespace characters toggled whitespace characters dialog opened,bad
Bug quick Change type offer matching type type arguments,bad
Bug implementation Compiler error prevents development,bad
Bug content assist ArrayIndexOutOfBoundsException thrown SignatureUtil getUpperBound Array Bounds Exception Signature Util Upper Bound,good
Bug API Add getBytes IClassFile Bytes IClass File,good
Bug Introduce Parameter dialog table parameters scroll view,good
Bug spell checking NPE SpellCheckEngine resetUserDictionary shutdown Spell Check Engine reset User Dictionary,good
Bug clean work preview,bad
Bug explorer JDT error behavior link editor option opening,good
Bug push search Referencing problem PushDownRefactoringProcessor Push Refactoring Processor,good
Bug explorer Working Assignments dialog longer sorted created,good
Bug typing Pasting contents string string concatenation doesn work string empty string,good
Bug quick assist Assigning parameter existing field incomplete linked mode,good
Bug Adding JUnit quick IAE,good
Bug misc save participants called Save,good
Bug Smart cursor positioning java names don work CONSTANT NAMES,bad
Bug preferences implementation Encoding problem JRE library preference dropdown box,good
Bug save actions Format edited lines Save formats lines ASCII characters,good
Bug search fails find call sites varargs constructors,bad
Bug JVME exist JavaElementNameComposer appendTypeParameterLabel Java Element Composer append Type Parameter Label,good
Bug quick unused type parameter,good
Bug compare compare holds deleted compilation unit,good
Bug search NPE searching property key,good
Bug working sets Assign Working Sets dialog working,good
Bug JUnit View open source test classes fragments,good
Bug preferences Explain Ctrl modifier code assistant,bad
Bug compare Clicking structure view breaks compare editor viewers,good
Bug preferences analysis fields,good
Bug refactoring enhance Javadoc RefactoringWizard performFinish Refactoring wizard remains open enabled buttons refactoring operation completes Refactoring Wizard perform Finish,good
Bug actions Assign Working Sets working sets,good
Bug Java Model Exception Javadoc view element deleted,bad
Bug search find constant references files source attached,bad
Bug searching files failes,bad
Bug Add compliance compiler compliance list,good
Bug preferences Provide strictly compatible JRE problem severity,good
Bug Export runnable jar wizard documented,bad
Bug working sets Reveal changed element Assign Working Sets,good
Bug Incorrect Javadoc org eclipse ltk core refactoring Change,bad
Bug typing Tabs messed,bad
Bug Strings insertMarks drops directional punctuation characters StyledString insert Marks Styled String,good
Bug explorer PackageExplorerContentProvider executeRunnables Collection change event order Explorer Content Provider execute Runnables,good
Bug open type matching range bold pattern ends space,good
Bug jar exporter Destination starting announced relative workspace,good
Bug Search declarations working sets fail working,good
Bug hovering Javadoc Viewer doesn display link properly text whitespace,bad
Bug rename button clipped Rename dialog,bad
Bug refactoring enablement precondition checking Extract refactorings packages names annotations,good
Bug quick Quick fixes linked mode editor jump wrong position,good
Bug quick Quick loop bare local variable argument field,good
Bug content assist preferences Favorites grow list resize,good
Bug nls tooling Rename properties key field adds additional,bad
Bug hovering Hover labels local variables,good
Bug JAR export explain problem,good
Bug Full rebuild asked compiler options changed workspace empty,bad
Bug misc Update conflicts dialog appears save save longer,bad
Bug EditorMgmt remove IURIEditorInput Editor Mgmt IURIEditor Input,good
Bug preference hovering Externalized String hover modifier key Hyperlink modifier,good
Bug AlreadyExistsDialog initializeComposite clones Dialog createDialogArea Exists Dialog initialize Composite create Dialog Area,good
Bug quick assist extract number quick assist doesn replace occurrences,good
Bug breadcrumb unfocused dropdown closed leaving workbench window,bad
Bug preferences link Java Editor pref honor dialog font,good
Bug inline inlining invocations method work method enum type,good
Bug implementation Deleting source folder leaks file handle,bad
Bug breadcrumb Drop stays open GTK tool bar drop menu opened,good
Bug compare createStructure called times sides opening compare editor create Structure,good
Bug AIOOBE IdentityHashSet getInsertionIndex Identity Hash Insertion,good
Bug patch Layout RefactoringStatusDialog standard Refactoring Status Dialog,good
Bug working sets action working selected,bad
Bug actions Error open file,bad
Bug JavaColorManager initialized thread Java Color Manager,good
Bug formatter JavaDoc formatter wrongly indent tags description Java Doc,bad
Bug rename Refactoring renaming exists error upper change,good
Bug call hierarchy Counter color,good
Bug navigation Quick outline view reproduces StackOverflow key presses filter Stack Overflow,bad
Bug Unable encoding source attachment,good
Bug improve StubCreator Stub Creator,good
Bug build path Add project screen projects,good
Bug Extract Superclass Pull Push window cuts text items selected,good
Bug encapsulate field Encapsulate field parameter prefix code style,good
Bug JUnit RunWith Parameterized don navigate,bad
Bug Java Type Indicator decorator image leak,good
Bug jar exporter Runnable Jar File Export repacks referenced libraries warning disabled,good
Bug explorer Assign Working Sets dialog preserve check box setting,good
Bug SearchLeakTestWrapper testRemoveSearchQueries fails build machine Search Leak Test Wrapper test Remove Search Queries,good
Bug Compiler Errors Warnings preference doesn resize,good
Bug move method NPE move method refactoring,good
Bug call hierarchy Remove View fails grandchild progress,good
Bug ASTRewrite extra dimensions lost,good
Bug rename Refactor rename editor slow matches,good
Bug explorer hides jars java resources working selected,bad
Bug working sets explorer Newly created incompatible working sets Explorer,good
Bug KeyBindings Toggle Mark Occurrences shortcut broken Key Bindings,good
Bug extract method replace duplicates span method body,good
Bug quick Conversion Lambda appearing,good
Bug breadcrumb Java resources jar opened,good
Bug JUnit DBCS JUnit generate method CJK extension,bad
Bug typo CodeCompletionPerformanceTest createTypeHierarchy Code Completion Performance Test create Type Hierarchy,good
Bug reconciling JavaMultiPassReconciler removes annotations Java Multi Pass Reconciler,good
Bug typing Pressing enter opening curly brace closes curly brace repeatedly,bad
Bug preferences SWTException OptionsConfigurationBlock Widget disposed Options Configuration Block,bad
Bug misc Breakpoint icons disappear,bad
Bug NPE deleting resource,bad
Bug Search Search dialog loses bottom buttons Solaris,good
Bug hovering Problem hover Configure Problem Severity project specific Javadoc preferences,bad
Bug quick assist RFE Quick statements Enum,good
Bug Unclear directions Java Project wizard,good
Bug preferences warning missing resources wrong category,good
Bug Tomcat web app root attribute,good
Bug search Difficult Select Limit options Search dialog keyboard,good
Bug Preference taller screen,bad
Bug misc Editor computing AST concurrently,bad
Bug JAR Packager Path exported resource wrong src folder project,good
Bug elements removed hierarchical search,good
Bug quick Configure Problem Severity quick,good
Bug toString Generator wrong suffixes prefixes String,bad
Bug Replace org eclipse jdt launching jreContainerMarker JavaRuntime JRE CONTAINER MARKER jre Container Marker Java Runtime,good
Bug Deadlock JavaWorkingSetUpdater Java Working Updater,good
Bug ccp Paste enabled jars,good
Bug clean Serial,good
Bug build path Output folder source folders stripped project established IDE,good
Bug Info views linking sync,good
Bug hovering Hover popups allocate sufficient amount space,bad
Bug Formatter Wrap aggressive qualifiers,bad
Bug Bug comment mapper Grabs node Javadoc,bad
Bug Activating working updaters bundle org eclipse jdt encountered problem,bad
Bug preferences Mark Occurences Pref Link,good
Bug quick NPE ASTNodeFactory method type missing ASTNode Factory,good
Bug Browsing remains types deleted,bad
Bug change method signature Preview incorrect varargs parameter,good
Bug javadoc Open Attached Javadoc adapt Javadoc anchor format,good
Bug quote problems property files JDT,bad
Bug OpenTypePerfTest testWarmException perf tests reliable Open Type Perf Test test Warm Exception,good
Bug mark occurrence search Mark occurrences reports based numbers actual numbers number rulers starts,bad
Bug type hierarchy view honor abbreviation setting,good
Bug nls tooling TVT externalized string Externalize Strings panel,bad
Bug Packages View flickering loosing expanded logical selected hierarchical layout,good
Bug NPE JavaEditor isMarkingOccurrences Java Editor Marking Occurrences,bad
Bug explorer doesn work Synchronize view open java file classpath,good
Bug projection NPE ProjectionViewer setRangeIndication Projection Viewer Range Indication,bad
Bug Incorrect operation order jarpackager,bad
Bug build path Source attachments wrong automatically libraries,good
Bug JUnit CCE opening editor,good
Bug JUnit support disabled launched,bad
Bug quick duplicate exception add,bad
Bug Refactor rename popup border black bottom missing,good
Bug ImageDescriptorRegistry hookDisplay SWT Invalid thread access Image Descriptor Registry hook Display,good
Bug JavaElementAdapterFactory loads Team Java Element Adapter Factory,good
Bug working sets Assign Working Sets dialog forgets settings adding moving working,good
Bug ltk LTK RefactoringWizardOpenOperation opens window window title text Refactoring Wizard Open Operation,bad
Bug implementation Reconciling robust,bad
Bug RenameTypePerfAcceptanceTests aka Rename Control bogus Rename Type Perf Acceptance Tests,bad
Bug templates JavaContext sets wrong completion length adding imports Java Context,good
Bug common navigator Dragging FileTransfer closed project valid drop File Transfer,good
Bug opening editor maximum allowed reached result exception editor opened,good
Bug Save slow burns cycles Project Explorer,bad
Bug call hierarchy Clearing history clear status bar view,good
Bug content assist filter setters fields,bad
Bug content assist Paramter guessing slow,bad
Bug call hierarchy Improve View Menu Preferences,good
Bug common navigator Project Explorer refresh adding removing library project,good
Bug compare Structured compare editor tree doesn properly format qualified types,bad
Bug content assist Pressing Semicolon commit content assist bypasses smart semicolon,bad
Bug infer type arguments NPE InferTypeArgumentsConstraintsSolver getNonTaggingInterfaces Infer Type Arguments Constraints Solver Tagging Interfaces,good
Bug quick Expression unchecked conversion Replace quick insert wild cards compile error,bad
Bug hover preference change background color debug hover popup,bad
Bug generate constructor Generate constructor fields globally sets access modifier,bad
Bug typing Indentation String literal split formatter,good
Bug remove Search extension,good
Bug content assist Unnecessary content assist popup decimal,bad
Bug Code folding nudge,good
Bug NPE identifier browse button,bad
Bug Manifest Editors multi select extension tab plug editor,bad
Bug NPE opening site xml editor,bad
Bug Plug Dependencies View System packages distinguished framework packages,bad
Bug Failing LocalTargetDefinitionTests bundle JDT feature Local Target Definition Tests,good
Bug Export missing Product exe,good
Bug Target Platform pref fully reset Restore Defaults,bad
Bug Plug detail bad layout linux,bad
Bug exception opening editing site xml features invalid qualifier strings,bad
Bug Manifest Editors XMLInputContext erase characters removing nodes XMLInput Context,bad
Bug Wrong plugin editor opened clicking plugin,bad
Bug Feature Manifest editors don respect delimiters,good
Bug feature editor dirty license text editing,bad
Bug Eclipse samples review wizard incorrect text margins,good
Bug Extension points dependencies,bad
Bug Widget disposed error,bad
Bug launching features pressing select features button features warn user,good
Bug Exporting plug leaves file javaCompiler args java Compiler,bad
Bug Extension list filtered tree clear button bad positioned,good
Bug Building workspace IES target large number plugins takes longer,bad
Bug NPE Open Schema read schema files,bad
Bug Invalid warning bundle classpath,bad
Bug Eclipse logs seemingly useless install bundle error bundle,bad
Bug Adding extensions plugin manifest editor,bad
Bug Add Java Search progress dialog,good
Bug Quick broken Externalize manifest header,good
Bug API Baseline dialog resize vertically,bad
Bug Registry View activated plugins,good
Bug Eclipse launcher incorrect eclipse exe launching Eclipse Application,good
Bug bin excludes propery update,good
Bug Calculate button enabled initial add Export,good
Bug Dependency View update models removed,good
Bug tooling OSGi Declarative Services template generates invalid MANIFEST,bad
Bug invalid flagging internal extension points,bad
Bug product ignore program arguments initializing launch config,good
Bug PDE Launcher program arguments command arguments,bad
Bug Feature Wizard aggressive overwriting fields,good
Bug Polish Remove Remove enabled,good
Bug Project specific Plug Manifest Compiler properties broken,good
Bug Validation dialog closes properly,bad
Bug Eclipse Application launch config fails SWT fragment workspace,bad
Bug Inappropriate build properties errors built extra classpath jars fail update jar built,good
Bug Open extension point schema link fails plugin xml editor,good
Bug manipulator loadConfiguration empty array load Configuration,good
Bug feature launching choosing features launch counter update filtering,good
Bug NullPointerException XMLErrorReporter getTextContent Pointer Exception XMLError Reporter Text Content,good
Bug Wrong dialog enter version number exported,bad
Bug Pgm Arguments duplicated launching product editor,good
Bug Plug Dependencies View Fragment dependency,good
Bug Convert produces warnings build properties existing,bad
Bug spy improve saving image functionality,good
Bug spinner column area eclipse app launch config,good
Bug Amnesia opening manifest JARd plug,bad
Bug Problem PluginModelManager Plugin Model Manager,good
Bug Untranslated text RCP mail app,good
Bug Schema editor disabled,bad
Bug PDE editor browse type OOME,bad
Bug Manifest Editors Required Plug ins title missing Dependencies,bad
Bug target Target Platform brings plugins previous installations,good
Bug PDE editor tab tooltip fully qualified opened plugin deps view,bad
Bug NPE opening feature xml feature file,bad
Bug NPE SourceEntryErrorReporter validate Source Entry Error Reporter,good
Bug NPE org eclipse pde internal editor plugin DependencyManagementSection Dependency Management,good
Bug Bidi Elements labels extensions fragment manifest characters order incorrect,good
Bug Schema Editor Source named Source,good
Bug range marking constructor method reference,good
Bug Runtime LIbrary classpath,good
Bug jars extra classpath mark entries starting ANT variables Errors,good
Bug Installed metadata group longer spans preference,bad
Bug Quickfix remove Bundle Activator lazy start,good
Bug plugin dialog unable cancel operation,bad
Bug ArrayIndexOutOfBoundsException running scan Array Bounds Exception,bad
Bug Patch jface text deprecation,bad
Bug early call modify bundle root leaves WorkspacePluginModelManager initialized Workspace Plugin Model Manager,good
Bug Plugin Registry view incorrect versions,bad
Bug error messages don recognize directories,bad
Bug Feature appears feature selection dialog,bad
Bug Bundle Localization header validated,bad
Bug patch feature xml editor Recompute check box dependencies tab stay,good
Bug config ini generated eclipse launch configuration work target,bad
Bug validation Java project source output folders Plug Project Wizard,bad
Bug registry view Disabling Enabling plug refresh icon,good
Bug RemotePluginTestRunner issue message test plug resolved Remote Plugin Test Runner,good
Bug Plug Manifest Editor loses dependency addition,bad
Bug plugin source leaves warning missing src zip,good
Bug Plug removed Java Search imported source,bad
Bug target target definition wizard resets contents,bad
Bug Warnings project importing source folders project exported source,good
Bug change internal manifest file picked,bad
Bug Feature manifest file label NPE clicking Dependencies tab,bad
Bug Regression Plug ins view Find References,good
Bug Plug wizard defaults biased plug development,bad
Bug spy NPE active,good
Bug Shells created launcher buttons wrong parents,bad
Bug PDE editor improperly process extension points defined fragments,bad
Bug Plug Dependencies View sorting lost changing presentation mode,bad
Bug tooling Services label rendered,bad
Bug Progress reporting API comparison hits,bad
Bug Compute dependencies feature broken,bad
Bug hosting eclipse starts update configurator start level,good
Bug target Broken buttons plug wizard source code locations environment,good
Bug Schema HTML generator CHKPII errors,bad
Bug Wizard layout express wasteful,good
Bug NPE creating project jar org apache oro,bad
Bug Hyperlink detector working Build source,good
Bug PDE handle space required bundle version,bad
Bug existing plugin destroys custom project natures,bad
Bug Missing border Extensions tab,bad
Bug Remove unsupported bytecodes preference Luna,bad
Bug NPE building fragment,bad
Bug Schema Editors Buttons enabled editor editable,good
Bug Manifest Editor Opening plugin xml Manifest longer shares editor,good
Bug target Software site locations don remember included software settings,good
Bug host plugin presented Automated Management Dependencies Add dialog fragment,bad
Bug addition extension extension point singleton directive,good
Bug category file selection dialog displays error dialogs searching,good
Bug api tooling API parse error MANIFEST naming project,good
Bug Access Restriction Quickfix referencing imported external plug,good
Bug Wrong colour parent composite error log view,good
Bug field disabled,bad
Bug changing unsupported API tag severity update problems,good
Bug NPE AbstractSearchResultPage ContentProvider Search references plug Search Result Content Provider,good
Bug Text wrapped cutted plugins wizard,bad
Bug target Reloading target platform delta pack synch,bad
Bug Warning org eclipse pde runtime,bad
Bug NPE SourceOutlinePage removeAllSelectionChangedListeners Source Outline remove Selection Changed Listeners,good
Bug Errors creating school plug ins,bad
Bug NPE PDERegistryStrategy deleting plug ins PDERegistry Strategy,bad
Bug Schema Editors Global element local attribute identity constraints respected,good
Bug Organize Manifest Mark internal internal pattern,good
Bug Source Locations included directories target platform,bad
Bug Extension point schemas valid Schemas,bad
Bug Error validating launch config,bad
Bug Externalize Strings MANIFEST suffix header,bad
Bug Manifest Editors Selection behaviour wrong delete Extension tree viewer,good
Bug api tooling Refactoring participants required filters,good
Bug Clicking Edit Workspace Locked dialog select workspace location,good
Bug filter error MANIFEST,bad
Bug Manifest Editors Edit button Extensions disappear,good
Bug Schema Editors Remove Label Property Icon fields Element Details,good
Bug plugin xml compare viewer react color,good
Bug manifest editor content assist additional info wrong status text,bad
Bug Quickfix Service Export Service,good
Bug StackOverFlowError selecting Add Required Plugins Target Platform preference Target Definition dialog Content tab Stack Flow Error,bad
Bug warning messages product editor,good
Bug target Target definition editor prematurely editing Software Site,bad
Bug API Errors Warnings severity fishy,bad
Bug tooling component wizard honour dialog font,good
Bug External Plug Libraries misses closed project Java Search,good
Bug doc missing context,bad
Bug Regression Extension search longer highlighted plugin editor,bad
Bug RequiredPluginsInitializer implement getDescription Required Plugins Initializer Description,good
Bug Included Features don Feature Editor Outline,good
Bug Regression install host,bad
Bug target Move target button targets moved top,bad
Bug Feature dependency calculations include,bad
Bug Feature Editor find feature dependencies correctly,bad
Bug PDE attempt add external folder classpath,bad
Bug Rename Bundle SymbolicName context sensitive Symbolic,bad
Bug Manifest Editor plugin xml source editor syntax coloring confused,bad
Bug Provide Lightbulb Quick Fixes build properties source,good
Bug Site Editors NPE DND,bad
Bug javacVerbose javac Verbose,good
Bug RCP mail template references existent file,good
Bug Unexpected confirmation dialog launching,bad
Bug org eclipse wst xml Plug Manifest Editor unreliable,bad
Bug empty feature list selected,good
Bug Launchers Add Required Plug ins acts weird,bad
Bug Dialog cut High Contrast,bad
Bug Feature Editor Sorting incorrect,bad
Bug thread unchecked doesn work Headless Mode application,good
Bug classpath entries Manifest editor check bundle root,good
Bug target Cancelling resolution editor closed raises assertion failure,bad
Bug NPE opening context menu site xml editor source,good
Bug Target Environment Amnesia,bad
Bug Launch Eclipse Application clears target workspace determines,bad
Bug Find unused dependencies ignore packages exported bundle,good
Bug NPE resetting target platform,bad
Bug pde fragment wizard doesn transfer host maximum version wizard manifest,good
Bug PDE Extension Wizard creates bad plugin xml file,bad
Bug patch Configure Target Platform Quick dependency MANIFEST,good
Bug select nodes cheat sheet editor,bad
Bug Manifest Editors Quick Diff Numbers don work build properties editor,good
Bug Manifest Editors Automated Management Dependencies Title disappears,bad
Bug DSAnnotationCompilationParticipant performs unnecessary model modification DSAnnotation Compilation Participant,good
Bug Missing quick,bad
Bug Support pre release versions,bad
Bug API visible difference getValue getReplacementString AbstractTemplateSection Replacement String Template,good
Bug Plug dependencies element disappears working,bad
Bug Open misleading,bad
Bug Importing plug ins source files,good
Bug Splash exported product,good
Bug Manifest builder build properties plugin xml sync mark inconsistencies,bad
Bug Exception clicking translatable attribute,bad
Bug Target Platform,bad
Bug Registry view fragments,good
Bug Widget disposed Load Target Platform Job,bad
Bug Export Deployable plug ins deletes build xml prompt,good
Bug AssertionFailedException clicking dependencies link Assertion Failed Exception,bad
Bug Generated schema description valid HTML,bad
Bug Plug wizard resizes full screen height,bad
Bug PDE Locks adding ton required plugins sweet time,bad
Bug NullPointerException Manifest Editor doubleclicking sync Dependency Pointer Exception,bad
Bug File System Target Provisioner wizard glitches,bad
Bug NPE TargetPlatformPreferencePage Target Platform Preference,good
Bug configuration dirty arguments tab,good
Bug Schema identifier bound core style extensions,good
Bug NPE Launching workspace project deleted disk,bad
Bug Error project creation manifest file created classpath,bad
Bug fragment dialog exposes notion matching rules,bad
Bug Feature based launch ignores version numbers,good
Bug Plug Dependencies View opening view manifest editor,bad
Bug existing config ini product editor,bad
Bug Missing build properties file paralyzes PDE tooling,bad
Bug Refactoring renaming bundle update references dependents,good
Bug Manifest Editor schema file deleted extension point delete restored revert,good
Bug Plug manifest editor Switching form source selects,bad
Bug Rename library dialog problems,good
Bug product export generate bundles info,good
Bug Changing pde core major version qualifier detected error,good
Bug Bundle Localization Manifest Header honored plugin xml editor,bad
Bug Extra workspace jobs created auto removing unused filters,good
Bug Exporting feature saving Ant script generates functional script,bad
Bug Schema Editors Move attribute field deprecated field,good
Bug API baseline target considered derived target,good
Bug editing plugin xml located subfolder plugin project edits MANIFEST root,bad
Bug tooling NPE Component wizard,bad
Bug Manifest editor preference leaks images,bad
Bug XML parser instantiated utilized XML instance document parse discarded,good
Bug tooling Validate component element factory attributes,good
Bug Filter workspace features target managed features,good
Bug erroneous extension validation content assist,bad
Bug target Making target empty NPE,good
Bug Schema Editors Read description writable,bad
Bug Automated Management Dependencies add dependencies link result illegally formatted header,good
Bug Bundle Localization header Fragments externalized,bad
Bug NPE Extensions,bad
Bug osgiminimum missing Principal,bad
Bug multi FeatureExportOperation log error Feature Export Operation,good
Bug NPE CalculateUsesOperation Calculate Operation,good
Bug AbstractModel update NLResourceHelper bundle localization Model NLResource Helper,bad
Bug Generated Ant Script export plugin projects working,bad
Bug template missing,good
Bug Product editor generates plugin list feature based product,bad
Bug Load Target button enabled Pre defined Target Platform selected Combo,good
Bug NPE SchemaTransformer getSchemaCssURL Schema Transformer Schema Css URL,good
Bug PDEModelUtility cache correctly PDEModel Utility,bad
Bug API Create template method JUnitLaunchConfigurationDelegate JUnit Launch Configuration Delegate,good
Bug Leakage UndoActionHandler RedoActionHandler disposed open close plugin xml Undo Action Handler Redo Action Handler,bad
Bug Dependancies initially project creation wizard,bad
Bug Invalid Plug error severity warning,good
Bug exceptions PDE refactoring participant,bad
Bug xml docs parsed correctly,bad
Bug tooltip description,bad
Bug target Save work Target Definition Editor,good
Bug Plug Manifest Editor adds garbage mnemonics saving,bad
Bug NPE StyledBundleLabelProvider getImage Styled Bundle Label Provider Image,good
Bug Warning build properties plugin xml listed wildcards,good
Bug friend internal decorators incorrectly refreshed manifest editor,good
Bug target current target backing target definition file deleted,bad
Bug Font size inconsistent add target definition,good
Bug Lookup Extension Point descriptions fail source plugin directory spaces,good
Bug plugin xml structure merge viewer document root,good
Bug NPE Plugin Spy Navigate menu,good
Bug plugin NPE plug extensions editor,bad
Bug Inconsistent placement labels update site editor,bad
Bug Provide consumer based report launch config,good
Bug MANIFEST editor display plug names commas,bad
Bug Unable create plugin project jars,bad
Bug warn file folder output library entry,good
Bug Unsupported tag secondary type problems created,bad
Bug Usage pools api baseline xml files causing problems,good
Bug Product editor doesn support delete key,bad
Bug Preference opened Plug Wizard wrong parent,bad
Bug Schema Editors Actions Preview Reference Document offer save file,good
Bug ModelEntry getBestCandidate bad choices Model Entry Candidate,bad
Bug Error Log Export Log exports error,good
Bug bidi Compare editors MANIFEST plugin xml enforce LTR,bad
Bug Prompted rebuild,bad
Bug drop fragment project Overview tab confusing,bad
Bug PackageFinder findPackagesInClassFiles produce invalid names Finder find Packages Files,good
Bug CVS tests longer repo,good
Bug copying multiple extensions triggers java lang ClassCastException Exception,bad
Bug EmptyStackException schema parsing Empty Stack Exception,good
Bug TOC Editor debug XML errors,good
Bug Target platform recognize bundles extension jar,good
Bug CBI Binary plug imports OSGI INF source bundle,bad
Bug Wrong order classpath entries hosting,bad
Bug content assist ImportPkg completions include imported pkgs Pkg,good
Bug NPE writing bundles info stale model,good
Bug ITemplateSection typo ITemplate,bad
Bug Error message missing arguments,bad
Bug Organize Manifests adds settings META INF Export,bad
Bug dynamic plug project API description API component,bad
Bug NPE launching nightly build,bad
Bug PDE illegally complains externalized strings,bad
Bug Schema Editors ConcurrentModificationException Concurrent Modification Exception,bad
Bug UITestApplication guard exception runTests UITest Application Tests,good
Bug Signed features mistaken plug ins,bad
Bug XMLErrorReporter deprecated calls XMLError Reporter,good
Bug NPE computing feature dependencies,bad
Bug ErrorReporter deprecated calls Error Reporter,good
Bug EventDetailsDialog leaks Clipboard Event Details Dialog,good
Bug PDE Build dependency runtime compatibility optional,bad
Bug target platform looses previous bundles adding directory target plugins,bad
Bug BinaryRepositoryProvider deprecated calls Binary Repository Provider,good
Bug Resolution issue ant task,bad
Bug Javadoc tag autocomplete work tag,bad
Bug Target setting Plug Project wizard remembers,bad
Bug update Error installing examples provisioned SDK,good
Bug NPE crashes Eclipse,bad
Bug Editing extensions PDE editor creates invalid plugin xml,bad
Bug Create OSGI Bundle Manifest generates exports CVS metadata,bad
Bug CCE Log view opening Event Details selecting session,good
Bug Error Log view boldening session confusing,good
Bug User defined ant properties passed export process,good
Bug NPE select required button feature based launch config,good
Bug Opening build properties big plug locks flashes cursor,bad
Bug Target Platform Realization Preference robust,good
Bug Validate dialog narrow,bad
Bug Provider form fields fragment overview updated externalization quick applied,bad
Bug target target doesn spaces,bad
Bug Content Assist sort beautify proposals,bad
Bug Amnesia retrieving extension point descriptions,bad
Bug Remove garbage imported signed plug ins,good
Bug Exporting plug project plug ins classes,bad
Bug check problems platform,bad
Bug Working ClassCastException edit Working Exception,good
Bug preferences Javadoc PDEPreferencesManager PDEPreferences Manager,good
Bug TargetEnvironmentTestCase tests fail locally Target Environment Test,good
Bug Plug Project jar wizard fails enable Finish button,bad
Bug testExport Environment junit assertion Missing exported bundle test Export,good
Bug Bundle Localization OSGI INF bundle properties plugin properties,good
Bug Deleting Extension Point file problems,bad
Bug patch Eclipse launch configuration inherit properties target platform,good
Bug target Target args configs created product configurations,good
Bug CheatSheet Registering cheat sheet fails java lang NullPointerException Cheat Sheet Pointer Exception,bad
Bug export features enabled SDK,bad
Bug binary plug ins update source attachment replacing existing jared plug ins,bad
Bug meta attribute schema insensitive,good
Bug refactoring finish rename project existing project,good
Bug Organize Manifest detect remove exported bundles,bad
Bug Validate Add Required junit plug launch application app test,good
Bug project created build properties files errors logged,good
Bug Extension point schema editor opens read plugin xml editor,good
Bug Dependency Management account packages binary jars,bad
Bug XSLT web site xml supported Mac Safari,good
Bug Invalid Manifests multiple BundleDescription project Bundle Description,bad
Bug Manifest builder overzealous,good
Bug schema errors displayed problems explorer views,bad
Bug Wrong background inheritance preference,bad
Bug Schema Preview open external browser,good
Bug NPE opening schema editor,good
Bug Features dependencies add features fail,bad
Bug Quickfix solve restriction access problem,good
Bug patch Event log filter doesn work enabled event details,good
Bug tooling Component Definition Fields SWT BORDER style,bad
Bug patch TVT IES Platform String concatenation appeared Polish Language,bad
Bug tooling unset bind unbind methods service references,good
Bug tooling Problems unnamed reference elements,bad
Bug testApplication parameter unusable product test Application,bad
Bug Creating osgi bundle project adds lazy start header,bad
Bug Headless application overrides product PDE JUnit launch configurations,good
Bug NPE opening feature manifest,bad
Bug Search engine report threshold hit,good
Bug Spell checking issues org eclipse pde doc user toc xml,bad
Bug PDE Tools Organize Manifest incorrectly identifes externalized Bundle Category unused,bad
Bug Load target button PDE preferences Target Platform enabled correctly,good
Bug Project check project filesystem,bad
Bug Create preferences build properties problems,bad
Bug NPE add dependencies plugin,bad
Bug Target longer start importing binary plug ins,bad
Bug patch target Dont increment sequence number reload provide tooltips reload update,good
Bug Changing target environment update plugin container,good
Bug extension editor longer custom icons,good
Bug NPE creating extension point schema PDE wizard,bad
Bug target Minor issues content tab,bad
Bug Duplicate unordered problems build properties,bad
Bug Refactor Rename resources update plugin xml,good
Bug Main tab PDE launch configurations cut bigger dialog font,good
Bug initialization policy target platform based location,bad
Bug Eclipse app layout Add API Baseline doesn accept app bundle,good
Bug combo box JRE bindings,good
Bug Widget Disposed error creating OSGi manifest,good
Bug Error Log view display child entries exceptions,good
Bug Binary compatibility breakage method removed AbstractLauncherTab Launcher Tab,good
Bug SWTException thrown DependencyManagementSection refresh Dependency Management,good
Bug Manifest Editors Browse attribute types restrict basedOn based,good
Bug Export version creating Plug existing JAR archives,bad
Bug org eclipse core runtime auto start,bad
Bug Quick Add missing packages add internal packages internal,bad
Bug PDE Tooling support Exports,bad
Bug NPE registering context plugin project,bad
Bug Errors Workspace dialog displayed,bad
Bug Wording wrong title dialog warns importing running target,good
Bug regression API tooling complains missing tag method noreference tag,bad
Bug PDE error dialog logs error app running,bad
Bug build fresh workspace,bad
Bug dependencies templates longer,bad
Bug META INF bundle manifest,bad
